Location,Property Type,Bedrooms,Bathrooms,Size,Price (KES),Listing Date,Amenities,Size_Missing,Size_Numeric,Bedrooms_Numeric,Neighborhood,Property_Type_Encoded,Listing_Date,Listing_Day,Listing_Month,Listing_DayOfWeek,Amenities_Clean,Total_Amenities,Has_Parking,Has_Swimming_Pool,Has_Gym,Has_Garden,Has_CCTV,Has_Backup_Generator,Has_Fibre_Internet,Has_Gated_Community,Price_Per_SqM,Bed_Bath_Ratio,Total_Rooms,Size_Per_Bedroom,Luxury_Score,Size_Category,Price_Category,Bedroom_Category,Neighborhood_Popularity,Is_Weekend_Listing
Nairobi - Runda,House,4 bedrooms,4.0,380 m²,478000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School",0,380.0,4,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School",15,1,1,0,1,0,1,1,0,1257.8947368421052,1.0,8.0,95.0,5.0,Large,Premium,Medium,85,0
Nairobi - Runda,House,5 bedrooms,5.0,"0,5 m²",450000,10 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, School, Hospital",0,5.0,5,Runda,1,2026-02-10,10,2,1,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, School, Hospital",15,1,0,0,1,0,1,1,1,90000.0,1.0,10.0,1.0,3.0,Small,Premium,Large,85,0
Nairobi - Runda,House,4 bedrooms,4.0,"0,5 m²",412800,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School",0,5.0,4,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School",15,1,0,0,1,0,1,1,1,82560.0,1.0,8.0,1.25,3.0,Small,Premium,Medium,85,0
Nairobi - Kitisuru,House,2 bedrooms,2.0,,277350,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,177.5,2,Kitisuru,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",13,1,0,0,1,0,1,1,0,1562.5352112676057,1.0,4.0,88.75,2.0,Small,Mid-Range,Small,27,0
Nairobi - Runda,House,4 bedrooms,4.0,420 m²,400000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,420.0,4,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,952.3809523809524,1.0,8.0,105.0,2.0,Very Large,Mid-Range,Medium,85,0
Nairobi - Kileleshwa,House,5 bedrooms,6.0,,190000,20 February 2026,"En Suite, Backup Generator, Service Charge Included, Walk In Closet, Alarm, Gated Community, Staff Quarters, Parking, Balcony, BBQ, Electric Fence, Garden, Hospital, Scenic View, School, Shopping Centre",1,320.0,5,Kileleshwa,1,2026-02-20,20,2,4,"En Suite, Backup Generator, Service Charge Included, Walk In Closet, Alarm, Gated Community, Staff Quarters, Parking, Balcony, BBQ, Electric Fence, Garden, Hospital, Scenic View, School, Shopping Centre",16,1,0,0,1,0,1,0,1,593.75,0.8333333333333334,11.0,64.0,2.5,Large,Budget,Large,14,0
Nairobi - Karen,House,4 bedrooms,4.0,,450000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,300.0,4,Karen,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",15,1,1,0,1,0,1,1,0,1500.0,1.0,8.0,75.0,5.0,Medium,Premium,Medium,45,0
Nairobi - Lavington,House,5 bedrooms,5.0,,350000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,320.0,5,Lavington,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1093.75,1.0,10.0,64.0,2.0,Large,Mid-Range,Large,102,0
Nairobi - Spring Valley,House,4 bedrooms,4.0,"0,13 m²",452300,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School",0,13.0,4,Spring Valley,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School",15,1,0,0,1,0,1,1,1,34792.307692307695,1.0,8.0,3.25,3.0,Small,Premium,Medium,18,0
Nairobi - Runda,House,4 bedrooms,4.0,450 m²,450000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School",0,450.0,4,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School",15,1,1,0,1,0,1,1,0,1000.0,1.0,8.0,112.5,5.0,Very Large,Premium,Medium,85,0
Nairobi - Runda,House,5 bedrooms,5.0,"0,5 m²",646000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Shopping Centre, Bus Stop, Hospital, School",0,5.0,5,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Shopping Centre, Bus Stop, Hospital, School",14,1,0,0,1,0,1,1,0,129200.0,1.0,10.0,1.0,2.0,Small,Luxury,Large,85,0
Nairobi - Runda,House,5 bedrooms,5.0,380 m²,450000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, BBQ, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,380.0,5,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, BBQ, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1184.2105263157894,1.0,10.0,76.0,2.0,Large,Premium,Large,85,0
Nairobi - Kitisuru,House,5 bedrooms,5.0,,750000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,320.0,5,Kitisuru,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,2343.75,1.0,10.0,64.0,2.0,Large,Luxury,Large,27,0
Nairobi - Lavington,House,5 bedrooms,5.0,320 m²,250000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Golf Course, Hospital, School, Shopping Centre",0,320.0,5,Lavington,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Golf Course, Hospital, School, Shopping Centre",19,1,0,0,1,1,1,1,1,781.25,1.0,10.0,64.0,4.0,Large,Budget,Large,102,0
Nairobi - Gigiri,House,3 bedrooms,3.0,,380000,14 February 2026,"Alarm, Backup Generator, En Suite, Furnished, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access",1,239.0,3,Gigiri,1,2026-02-14,14,2,5,"Alarm, Backup Generator, En Suite, Furnished, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access",15,1,0,0,1,1,1,0,0,1589.958158995816,1.0,6.0,79.66666666666667,2.5,Medium,Mid-Range,Medium,16,1
Nairobi - Thigiri,House,5 bedrooms,2.0,,350000,26 January 2026,"En Suite, Backup Generator, Alarm, Balcony, Electric Fence, Garden, Parking, Staff Quarters, School, Scenic View, Shopping Centre",1,320.0,5,Thigiri,1,2026-01-26,26,1,0,"En Suite, Backup Generator, Alarm, Balcony, Electric Fence, Garden, Parking, Staff Quarters, School, Scenic View, Shopping Centre",11,1,0,0,1,0,1,0,0,1093.75,2.5,7.0,64.0,1.5,Large,Mid-Range,Large,10,0
Nairobi - Runda,House,5 bedrooms,6.0,450 m²,578000,09 February 2026,"Backup Generator, En Suite, Balcony, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gated Community, Golf Course, Shopping Centre, School",0,450.0,5,Runda,1,2026-02-09,9,2,0,"Backup Generator, En Suite, Balcony, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gated Community, Golf Course, Shopping Centre, School",12,1,0,0,1,0,1,0,1,1284.4444444444443,0.8333333333333334,11.0,90.0,2.5,Very Large,Premium,Large,85,0
Nairobi - Runda,House,4 bedrooms,4.0,380 m²,350000,20 February 2026,"Backup Generator, En Suite, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Shopping Centre, Hospital, Scenic View, School, Golf Course",0,380.0,4,Runda,1,2026-02-20,20,2,4,"Backup Generator, En Suite, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Shopping Centre, Hospital, Scenic View, School, Golf Course",20,1,0,0,1,1,1,0,1,921.0526315789474,1.0,8.0,95.0,3.5,Large,Mid-Range,Medium,85,0
Nairobi - Karen,House,5 bedrooms,4.0,,250000,19 February 2026,"Service Charge Included, Electric Fence, Garden, Parking, Gated Community, Bus Stop, Golf Course, Hospital, School, Shopping Centre",1,320.0,5,Karen,1,2026-02-19,19,2,3,"Service Charge Included, Electric Fence, Garden, Parking, Gated Community, Bus Stop, Golf Course, Hospital, School, Shopping Centre",10,1,0,0,1,0,0,0,1,781.25,1.25,9.0,64.0,1.0,Large,Budget,Large,45,0
Nairobi - Runda,House,4 bedrooms,4.0,196 m²,300000,20 February 2026,"Alarm, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",0,196.0,4,Runda,1,2026-02-20,20,2,4,"Alarm, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",20,1,0,0,1,1,0,1,0,1530.6122448979593,1.0,8.0,49.0,1.5,Small,Mid-Range,Medium,85,0
