Location,Property Type,Bedrooms,Bathrooms,Size,Price (KES),Listing Date,Amenities,Size_Missing,Size_Numeric,Bedrooms_Numeric,Neighborhood,Property_Type_Encoded,Listing_Date,Listing_Day,Listing_Month,Listing_DayOfWeek,Amenities_Clean,Total_Amenities,Has_Parking,Has_Swimming_Pool,Has_Gym,Has_Garden,Has_CCTV,Has_Backup_Generator,Has_Fibre_Internet,Has_Gated_Community,Price_Per_SqM,Bed_Bath_Ratio,Total_Rooms,Size_Per_Bedroom,Luxury_Score,Size_Category,Price_Category,Bedroom_Category,Neighborhood_Popularity,Is_Weekend_Listing
Nairobi - Ridgeways,House,5 bedrooms,6.0,546 m²,280000,19 February 2026,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",0,546.0,5,Ridgeways,1,2026-02-19,19,2,3,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",26,1,0,1,1,1,1,1,1,512.8205128205128,0.8333333333333334,11.0,109.2,6.0,Very Large,Mid-Range,Large,6,0
Kajiado County - Kitengela,House,2 bedrooms,2.0,278 m²,110000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,278.0,2,Kajiado County - Kitengela,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,395.68345323741005,1.0,4.0,139.0,2.0,Medium,Budget,Small,3,0
Nairobi - Kiambu Road,House,4 bedrooms,4.0,356 m²,350000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,356.0,4,Kiambu Road,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,983.1460674157304,1.0,8.0,89.0,2.0,Large,Mid-Range,Medium,19,0
Nairobi - Karen,House,4 bedrooms,4.0,,250000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,300.0,4,Karen,1,2026-02-18,18,2,2,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",23,1,0,0,1,1,1,1,1,833.3333333333334,1.0,8.0,75.0,4.0,Medium,Budget,Medium,45,0
Nairobi - Gigiri,House,6 bedrooms,6.0,,750000,16 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,13.0,6,Gigiri,1,2026-02-16,16,2,0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",23,1,0,0,1,1,1,1,1,57692.307692307695,1.0,12.0,2.1666666666666665,4.0,Small,Luxury,Large,16,0
Nairobi - Karen,House,1 bedrooms,1.0,,90000,19 February 2026,"Alarm, En Suite, Fibre Internet, Furnished, Service Charge Included, Walk In Closet, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Parking, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,300.0,1,Karen,1,2026-02-19,19,2,3,"Alarm, En Suite, Fibre Internet, Furnished, Service Charge Included, Walk In Closet, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Parking, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",19,1,0,0,1,1,0,1,0,300.0,1.0,2.0,300.0,1.5,Medium,Budget,Small,45,0
Nairobi - Runda,House,4 bedrooms,5.0,"0,5 m²",400000,19 February 2026,"Backup Generator, En Suite, Garden, Staff Quarters, Parking, Balcony, Scenic View",0,5.0,4,Runda,1,2026-02-19,19,2,3,"Backup Generator, En Suite, Garden, Staff Quarters, Parking, Balcony, Scenic View",7,1,0,0,1,0,1,0,0,80000.0,0.8,9.0,1.25,1.5,Small,Mid-Range,Medium,85,0
Nairobi - Thigiri,House,5 bedrooms,4.0,,350000,19 February 2026,"Walk In Closet, Serviced, Alarm, En Suite, Fibre Internet, Kids Play Area, Gym, Balcony, BBQ, Parking, Staff Quarters, Wheelchair Access, Garden, Gated Community, Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School",1,320.0,5,Thigiri,1,2026-02-19,19,2,3,"Walk In Closet, Serviced, Alarm, En Suite, Fibre Internet, Kids Play Area, Gym, Balcony, BBQ, Parking, Staff Quarters, Wheelchair Access, Garden, Gated Community, Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School",20,1,0,1,1,0,0,1,1,1093.75,1.25,9.0,64.0,3.5,Large,Mid-Range,Large,10,0
Nairobi - Karen,House,5 bedrooms,4.0,,250000,19 February 2026,,1,320.0,5,Karen,1,2026-02-19,19,2,3,,0,0,0,0,0,0,0,0,0,781.25,1.25,9.0,64.0,0.0,Large,Budget,Large,45,0
Nairobi - Kiambu Road,House,4 bedrooms,5.0,356 m²,360000,12 September 2025,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",0,356.0,4,Kiambu Road,1,2025-09-12,12,9,4,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",26,1,1,1,1,1,1,1,1,1011.2359550561798,0.8,9.0,89.0,9.0,Large,Mid-Range,Medium,19,0
Nairobi - Kiambu Road,House,4 bedrooms,4.0,342 m²,150000,30 September 2025,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, Golf Course, Scenic View, School",0,342.0,4,Kiambu Road,1,2025-09-30,30,9,1,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, Golf Course, Scenic View, School",27,1,1,1,1,1,1,1,1,438.5964912280702,1.0,8.0,85.5,9.0,Large,Budget,Medium,19,0
Nairobi - Gigiri,House,4 bedrooms,4.0,400 m²,640000,19 February 2026,"Fibre Internet, En Suite, Walk In Closet, Alarm, Service Charge Included, Backup Generator, Garden, Gated Community, Wheelchair Access, Borehole, Electric Fence, CCTV, Staff Quarters, BBQ, Parking, Balcony, Kids Play Area, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",0,400.0,4,Gigiri,1,2026-02-19,19,2,3,"Fibre Internet, En Suite, Walk In Closet, Alarm, Service Charge Included, Backup Generator, Garden, Gated Community, Wheelchair Access, Borehole, Electric Fence, CCTV, Staff Quarters, BBQ, Parking, Balcony, Kids Play Area, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",23,1,0,0,1,1,1,1,1,1600.0,1.0,8.0,100.0,4.0,Large,Luxury,Medium,16,0
Nairobi - Kileleshwa,House,4 bedrooms,3.0,546 m²,270000,13 November 2020,"En Suite, Service Charge Included, Walk In Closet, Garden, BBQ, Staff Quarters, Electric Fence, Gated Community, Kids Play Area, Parking, Bus Stop, Scenic View, Shopping Centre",0,546.0,4,Kileleshwa,1,2020-11-13,13,11,4,"En Suite, Service Charge Included, Walk In Closet, Garden, BBQ, Staff Quarters, Electric Fence, Gated Community, Kids Play Area, Parking, Bus Stop, Scenic View, Shopping Centre",13,1,0,0,1,0,0,0,1,494.5054945054945,1.3333333333333333,7.0,136.5,1.0,Very Large,Mid-Range,Medium,14,0
Nairobi - Kileleshwa,House,2 bedrooms,2.0,,190000,30 March 2025,"Backup Generator, En Suite, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Gated Community, Kids Play Area, Bus Stop, Scenic View, Shopping Centre",1,177.5,2,Kileleshwa,1,2025-03-30,30,3,6,"Backup Generator, En Suite, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Gated Community, Kids Play Area, Bus Stop, Scenic View, Shopping Centre",13,1,0,0,1,1,1,0,1,1070.4225352112676,1.0,4.0,88.75,3.5,Small,Budget,Small,14,1
Nairobi - Spring Valley,House,5 bedrooms,4.0,,400000,12 February 2026,"Alarm, En Suite, Fibre Internet, Walk In Closet, Kids Play Area, BBQ, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Garden, Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School",1,320.0,5,Spring Valley,1,2026-02-12,12,2,3,"Alarm, En Suite, Fibre Internet, Walk In Closet, Kids Play Area, BBQ, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Garden, Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School",17,1,1,0,1,0,0,1,0,1250.0,1.25,9.0,64.0,3.5,Large,Mid-Range,Large,18,0
Nairobi - Lavington,House,5 bedrooms,6.0,,400000,19 February 2026,"Aircon, Service Charge Included, Alarm, Backup Generator, Walk In Closet, En Suite, Balcony, Parking, CCTV, Electric Fence, Staff Quarters, Garden, Gated Community, Shopping Centre, Hospital, Scenic View, School",1,320.0,5,Lavington,1,2026-02-19,19,2,3,"Aircon, Service Charge Included, Alarm, Backup Generator, Walk In Closet, En Suite, Balcony, Parking, CCTV, Electric Fence, Staff Quarters, Garden, Gated Community, Shopping Centre, Hospital, Scenic View, School",17,1,0,0,1,1,1,0,1,1250.0,0.8333333333333334,11.0,64.0,3.5,Large,Mid-Range,Large,102,0
Machakos County - Syokimau,House,5 bedrooms,5.0,,120000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,320.0,5,Machakos County - Syokimau,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,375.0,1.0,10.0,64.0,2.0,Large,Budget,Large,8,0
Nairobi - Spring Valley,House,4 bedrooms,4.0,,340000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,300.0,4,Spring Valley,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1133.3333333333333,1.0,8.0,75.0,2.0,Medium,Mid-Range,Medium,18,0
Nairobi - Runda,House,5 bedrooms,5.0,"0,5 m²",440000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,5.0,5,Runda,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,88000.0,1.0,10.0,1.0,2.0,Small,Premium,Large,85,0
Nairobi - Runda,House,4 bedrooms,4.0,,400000,19 February 2026,"Alarm, Backup Generator, Fibre Internet, En Suite, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,300.0,4,Runda,1,2026-02-19,19,2,3,"Alarm, Backup Generator, Fibre Internet, En Suite, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1333.3333333333333,1.0,8.0,75.0,2.0,Medium,Mid-Range,Medium,85,0
Nairobi - Lower Kabete,House,2 bedrooms,2.0,,100000,19 February 2026,"Alarm, En Suite, Backup Generator, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Garden, Borehole, Bus Stop, Shopping Centre, Hospital, School",1,177.5,2,Lower Kabete,1,2026-02-19,19,2,3,"Alarm, En Suite, Backup Generator, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Garden, Borehole, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,563.3802816901408,1.0,4.0,88.75,2.0,Small,Budget,Small,11,0
Nairobi - Nyari,House,4 bedrooms,4.0,,451500,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,300.0,4,Nyari,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1505.0,1.0,8.0,75.0,2.0,Medium,Premium,Medium,20,0
Nairobi - Runda,House,4 bedrooms,4.0,400 m²,350000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,400.0,4,Runda,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,875.0,1.0,8.0,100.0,2.0,Large,Mid-Range,Medium,85,0
Nairobi - Thigiri,House,4 bedrooms,5.0,"6.070,2 m²",450000,19 February 2026,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Electric Fence, Borehole, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop",0,6.0702,4,Thigiri,1,2026-02-19,19,2,3,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Electric Fence, Borehole, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop",23,1,0,0,1,1,1,1,1,74132.64801818722,0.8,9.0,1.51755,4.0,Small,Premium,Medium,10,0
Nairobi - Kilimani,House,4 bedrooms,4.0,400 m²,400000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,400.0,4,Kilimani,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1000.0,1.0,8.0,100.0,2.0,Large,Mid-Range,Medium,4,0
Nairobi - Lake View,House,5 bedrooms,6.0,450 m²,580000,19 February 2026,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop",0,450.0,5,Lake View,1,2026-02-19,19,2,3,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop",23,1,0,0,1,1,1,1,1,1288.888888888889,0.8333333333333334,11.0,90.0,4.0,Very Large,Premium,Large,5,0
Nairobi - Kiambu Road,House,5 bedrooms,5.0,449 m²,250000,19 February 2026,"Alarm, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Wheelchair Access, Garden, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",0,449.0,5,Kiambu Road,1,2026-02-19,19,2,3,"Alarm, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Wheelchair Access, Garden, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",17,1,0,0,1,1,0,1,0,556.7928730512249,1.0,10.0,89.8,1.5,Very Large,Budget,Large,19,0
Nairobi - Kitisuru,House,5 bedrooms,6.0,380 m²,412000,19 February 2026,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Borehole, Electric Fence, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital",0,380.0,5,Kitisuru,1,2026-02-19,19,2,3,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Borehole, Electric Fence, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital",21,1,0,0,0,1,1,1,1,1084.2105263157894,0.8333333333333334,11.0,76.0,4.0,Large,Premium,Large,27,0
Nairobi - Nyari,House,5 bedrooms,6.0,2.023 m²,400000,19 February 2026,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Electric Fence, Borehole, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop",0,2.023,5,Nyari,1,2026-02-19,19,2,3,"Walk In Closet, En Suite, Fibre Internet, Backup Generator, Alarm, Service Charge Included, Aircon, Kids Play Area, Wheelchair Access, Gated Community, Garden, Electric Fence, Borehole, CCTV, BBQ, Balcony, Parking, Staff Quarters, Shopping Centre, Scenic View, School, Hospital, Bus Stop",23,1,0,0,1,1,1,1,1,197726.1492832427,0.8333333333333334,11.0,0.4046,4.0,Small,Mid-Range,Large,20,0
Nairobi - Rosslyn,House,5 bedrooms,5.0,456 m²,646000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,456.0,5,Rosslyn,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1416.6666666666667,1.0,10.0,91.2,2.0,Very Large,Luxury,Large,7,0
Nairobi - Lavington,House,5 bedrooms,5.0,220 m²,350000,12 February 2026,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Alarm, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre",0,220.0,5,Lavington,1,2026-02-12,12,2,3,"Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Alarm, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre",20,1,0,0,1,1,1,1,1,1590.909090909091,1.0,10.0,44.0,4.0,Medium,Mid-Range,Large,102,0
Nairobi - Loresho,House,4 bedrooms,4.0,2.024 m²,619000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,2.024,4,Loresho,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,305830.0395256917,1.0,8.0,0.506,2.0,Small,Luxury,Medium,9,0
Nairobi - Lake View,House,5 bedrooms,5.0,,580500,19 February 2026,"Backup Generator, En Suite, Service Charge Included, Walk In Closet, Balcony, Kids Play Area, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Garden, Gated Community, Wheelchair Access, Bus Stop, Shopping Centre, Golf Course, Hospital, School",1,320.0,5,Lake View,1,2026-02-19,19,2,3,"Backup Generator, En Suite, Service Charge Included, Walk In Closet, Balcony, Kids Play Area, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Garden, Gated Community, Wheelchair Access, Bus Stop, Shopping Centre, Golf Course, Hospital, School",19,1,0,0,1,1,1,0,1,1814.0625,1.0,10.0,64.0,3.5,Large,Premium,Large,5,0
Nairobi - Lower Kabete,House,5 bedrooms,5.0,,750000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, BBQ, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,320.0,5,Lower Kabete,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, BBQ, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,2343.75,1.0,10.0,64.0,2.0,Large,Luxury,Large,11,0
Nairobi - Runda,House,4 bedrooms,4.0,420 m²,390000,16 February 2026,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, CCTV, BBQ, Electric Fence, Garden, Staff Quarters, Parking, Bus Stop, Hospital, School, Shopping Centre",0,420.0,4,Runda,1,2026-02-16,16,2,0,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, CCTV, BBQ, Electric Fence, Garden, Staff Quarters, Parking, Bus Stop, Hospital, School, Shopping Centre",16,1,0,0,1,1,1,1,0,928.5714285714286,1.0,8.0,105.0,3.0,Very Large,Mid-Range,Medium,85,0
Nairobi - Runda,House,5 bedrooms,5.0,400 m²,370000,19 February 2026,"Service Charge Included, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, CCTV, Electric Fence, Garden, School, Hospital, Bus Stop, Shopping Centre",0,400.0,5,Runda,1,2026-02-19,19,2,3,"Service Charge Included, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, CCTV, Electric Fence, Garden, School, Hospital, Bus Stop, Shopping Centre",13,1,0,0,1,1,0,1,0,925.0,1.0,10.0,80.0,1.5,Large,Mid-Range,Large,85,0
Nairobi - Gigiri,House,5 bedrooms,4.0,140 m²,270000,19 February 2026,"En Suite, Walk In Closet, Balcony, Kids Play Area, Parking, BBQ, Staff Quarters, Garden, Wheelchair Access, Bus Stop, Shopping Centre, Golf Course, Hospital, School",0,140.0,5,Gigiri,1,2026-02-19,19,2,3,"En Suite, Walk In Closet, Balcony, Kids Play Area, Parking, BBQ, Staff Quarters, Garden, Wheelchair Access, Bus Stop, Shopping Centre, Golf Course, Hospital, School",14,1,0,0,1,0,0,0,0,1928.5714285714287,1.25,9.0,28.0,0.0,Small,Mid-Range,Large,16,0
Nairobi - Runda,House,4 bedrooms,4.0,,387000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,300.0,4,Runda,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1290.0,1.0,8.0,75.0,2.0,Medium,Mid-Range,Medium,85,0
Nairobi - Kitisuru,House,4 bedrooms,4.0,,646000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Garden, Borehole, Bus Stop, Shopping Centre, Hospital, School",1,300.0,4,Kitisuru,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Garden, Borehole, Bus Stop, Shopping Centre, Hospital, School",15,1,1,0,1,0,1,1,0,2153.3333333333335,1.0,8.0,75.0,5.0,Medium,Luxury,Medium,27,0
Nairobi - Gigiri,House,4 bedrooms,2.0,320 m²,270000,19 February 2026,"Fibre Internet, En Suite, Service Charge Included, Balcony, Parking, Staff Quarters, Electric Fence, Garden, School, Hospital, Bus Stop, Shopping Centre",0,320.0,4,Gigiri,1,2026-02-19,19,2,3,"Fibre Internet, En Suite, Service Charge Included, Balcony, Parking, Staff Quarters, Electric Fence, Garden, School, Hospital, Bus Stop, Shopping Centre",12,1,0,0,1,0,0,1,0,843.75,2.0,6.0,80.0,0.5,Large,Mid-Range,Medium,16,0
Nairobi - Runda,House,5 bedrooms,5.0,,618960,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,320.0,5,Runda,1,2026-02-19,19,2,3,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",15,1,1,0,1,0,1,1,0,1934.25,1.0,10.0,64.0,5.0,Large,Luxury,Large,85,0
Nairobi - Lavington,House,5 bedrooms,5.0,,300000,19 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Garden, Parking, Gated Community, Bus Stop, Golf Course, Hospital, School, Shopping Centre",1,320.0,5,Lavington,1,2026-02-19,19,2,3,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, Garden, Parking, Gated Community, Bus Stop, Golf Course, Hospital, School, Shopping Centre",16,1,0,0,1,0,1,1,1,937.5,1.0,10.0,64.0,3.0,Large,Mid-Range,Large,102,0
